type,left,bottom,right,top
5,40,0,58,19
6,80,84,86,92
10,49,27,57,34
8,34,63,49,71
7,67,77,81,93
5,8,96,28,116
4,88,0,98,11
3,77,69,88,83
5,53,21,59,34
7,63,26,78,41
1,17,80,37,97
9,45,4,58,16
1,89,68,109,87
3,46,6,57,12
4,81,23,87,39
6,5,11,23,23
4,38,87,49,96
9,24,94,34,104
3,80,17,87,23
7,34,40,51,46
9,40,44,49,52
5,89,8,105,18
7,53,47,69,57
8,48,65,55,74
10,31,90,38,109
2,81,86,96,97
4,44,32,57,47
7,20,38,29,45
9,43,64,52,72
9,22,83,27,95
9,12,24,20,29
1,26,15,46,28
3,47,11,55,17
1,53,2,69,16
2,74,65,93,77
4,37,80,52,85
1,23,92,29,100
3,9,77,18,86
6,14,64,25,75
7,3,34,14,45
5,5,78,13,91
5,44,62,60,67
3,25,90,45,107
10,22,49,34,59
9,20,19,39,35
10,95,51,108,68
7,93,39,105,49
10,1,40,14,52
10,11,63,16,68
7,23,72,30,89
9,88,16,106,28
10,92,64,98,82
9,55,38,68,57
2,3,14,19,34
8,2,21,7,27
6,44,9,63,25
6,5,82,24,87
7,47,1,60,17
5,49,91,60,98
9,86,69,104,88
8,81,74,91,86
1,28,44,47,62
6,42,41,61,46
9,31,96,43,104
1,78,83,94,99
10,45,15,63,22
5,82,11,94,29
5,3,74,22,86
10,14,85,19,100
7,80,51,98,63
2,21,70,41,83
3,80,73,92,91
6,79,95,90,115
5,96,2,102,18
4,23,27,35,46
9,90,16,106,23
1,7,94,26,113
1,59,16,78,32
9,60,1,78,21
5,15,60,20,76
2,89,98,97,117
1,86,70,92,88
6,51,24,71,35
7,28,3,48,23
5,4,60,24,75
5,99,19,113,35
2,93,98,109,114
2,16,49,26,63
10,63,62,79,81
9,59,25,71,32
7,75,96,90,105
2,99,67,109,81
6,38,83,47,88
9,89,65,97,73
2,36,27,45,40
7,84,41,94,46
4,6,97,11,114
9,96,47,108,54
5,73,71,84,78
5,11,70,27,76
